RegionID,SizeRank,RegionName,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018
395224,82,"Wichita, KS",140500,140000,134750,146000,152500,156450,147500,154900,149900,149900,148750,144750
395115,83,"Springfield, MA",203000,204120,205000,216000,223000,234900,225000,229000,219000,224900,227000,223000
394440,84,"Fort Myers, FL",230000,235000,240250,247000,242000,235250,241969,240000,235000,239188,242500,240000
394399,85,"Boise City, ID",252679,252000,269900,260500,269000,285000,284000,284000,279827,279945,279900,278335
395160,86,"Toledo, OH",100000,100000,115000,120000,125000,129900,135000,126750,134950,110000,119965,116000
394816,87,"Madison, WI",265000,255000,273000,270600,280000,292000,286500,283250,267000,274900,277000,269450
394766,88,"Lakeland, FL",193950,189900,190000,190000,190000,196000,195000,200990,199000,200075,200745,204990
394931,89,"Ogden, UT",250000,250000,262000,268000,266500,280000,275000,274000,271700,272000,278000,275000
394528,90,"Daytona Beach, FL",189000,199990,199900,200200,203000,210000,210000,210000,212100,209450,215000,216894
394531,91,"Des Moines, IA",193000,212750,200000,215000,218500,225500,219000,218000,214000,213500,215000,202500
394711,92,"Jackson, MS",170000,169000,174950,179781,185000,194000,195500,190000,185000,190000,189915,180000
394352,94,"Augusta, GA",162000,172700,160000,173250,172700,187900,185500,177000,180000,178900,178705,180950
394666,96,"Harrisburg, PA",179950,169900,170000,175000,180000,181000,185000,185900,175000,184900,180000,181000
395006,100,"Provo, UT",296000,315000,295125,305000,315000,315000,325000,320000,318000,310000,319000,319605
394549,104,"Durham, NC",253000,276250,280000,277500,280000,290500,285000,290000,284060,276000,290000,305500
394995,119,"Port St. Lucie, FL",220000,225000,230000,227750,233000,230000,229000,234900,235800,239000,230000,239000
395183,124,"Vallejo, CA",425000,430000,448000,435000,455000,447000,452250,455000,453000,449000,460000,441000
394746,128,"Killeen, TX",142900,152950,157688,157325,162250,165000,165000,165000,159650,157500,163955,156650
395048,132,"Salem, OR",265000,277100,280000,283000,288000,289000,303550,304300,292200,286000,290500,290500
394927,149,"Ocala, FL",142000,154000,150000,149900,155000,165000,162750,160000,170000,161750,160000,169000
394602,159,"Fort Collins, CO",380000,379927,395760,390000,400000,399900,400000,390000,398250,390000,405000,400000
394405,162,"Boulder, CO",547021,545000,558340,570000,591800,585000,579900,555195,588250,570843,555000,584398
394471,172,"Clarksville, TN",160000,167000,166250,170000,174900,184950,181250,172000,179000,172250,168825,174500
394645,177,"Greeley, CO",325127,334900,342750,339560,350000,343000,347000,348253,347500,349950,355250,355000
394813,189,"Macon-Bibb County, GA",109250,109000,131000,135000,136500,143668,134400,137000,139000,130375,122200,145000
394346,220,"Athens, GA",173750,202245,210500,212500,219525,216500,220000,210000,199500,189300,209000,199900
394623,229,"Gainesville, GA",185900,195050,235000,243000,228000,226750,252900,219000,239900,230500,254000,233800
395246,244,"Yuba City, CA",265000,282500,278000,285000,280000,300000,285000,288000,280000,281000,288500,300000
395009,251,"Punta Gorda, FL",195235,199000,210373,216010,212250,219200,212500,210000,213000,215000,230000,218950
395007,253,"Pueblo, CO",171000,185000,175000,185500,190000,195000,198000,190000,185050,186250,180000,179750
395094,331,"Sherman, TX",169700,157450,179500,174000,192000,192250,187900,172621,192500,175000,195000,171000
394546,343,"Dunn, NC",169450,168500,175000,171000,177250,190000,185500,175000,171750,163750,191250,187250
395166,383,"Truckee, CA",410000,425000,442500,458000,465000,499000,465500,470000,499000,466500,460000,424000
395153,399,"The Villages, FL",261766,265000,265000,254000,266541,271200,265000,255000,265000,274584,268700,282176
394586,504,"Faribault, MN",222800,220000,196450,221000,209000,222000,222318,235612,225000,220000,220000,225000
394309,527,"Albemarle, NC",128000,135000,143000,155000,143250,142750,139000,164000,150000,151500,142000,155000
394742,595,"Kerrville, TX",255000,212500,236650,253125,250000,266000,258750,226500,228000,265000,256500,270000
395091,641,"Shelbyville, TN",159900,161910,155950,160000,165946,164000,162500,169500,194900,162000,166500,162450
395230,672,"Wilmington, OH",118000,115500,152250,130000,123150,129000,137500,128300,127500,126000,115250,126250
